subject,index,condition,session,distance_to_null
NODEAP_70,242,C,S3D2,4.183406
NODEAP_73,244,C,S1D1,4.6687436
NODEAP_73,245,S,S1D2,2.684245
NODEAP_73,246,S,S2D1,2.738645
NODEAP_73,247,C,S2D2,2.5421417
NODEAP_73,248,S,S3D1,2.7669237
NODEAP_73,249,S,S3D2,3.024928
NODEAP_74,251,S,S1D1,2.6060624
NODEAP_74,252,S,S1D2,2.520593
NODEAP_74,253,C,S2D1,1.852012
NODEAP_74,254,S,S2D2,4.2153883
NODEAP_74,255,S,S3D1,3.1266117
NODEAP_74,256,C,S3D2,2.3279326
NODEAP_76,258,S,S1D1,1.9886439
NODEAP_76,259,C,S1D2,2.104924
NODEAP_76,260,C,S2D1,2.332168
NODEAP_76,261,S,S2D2,2.8681083
NODEAP_76,262,S,S3D1,1.8065162
NODEAP_76,263,S,S3D2,3.819829
NODEAP_77,265,C,S1D1,2.6929922
NODEAP_77,266,S,S1D2,2.9976332
NODEAP_77,267,S,S2D1,1.6118687
NODEAP_77,268,S,S2D2,2.7878344
NODEAP_77,269,S,S3D1,2.4423625
NODEAP_77,270,C,S3D2,4.0594454
NODEAP_78,272,S,S1D1,0.0
NODEAP_78,273,C,S1D2,2.870093
NODEAP_78,274,S,S2D1,2.6889303
NODEAP_78,275,S,S2D2,1.8917882
NODEAP_78,276,C,S3D1,2.569113
NODEAP_78,277,S,S3D2,2.3212698
NODEAP_79,279,S,S1D1,2.9447663
NODEAP_79,280,C,S1D2,3.2986193
NODEAP_79,281,S,S2D1,4.392651
NODEAP_79,282,S,S2D2,3.3190634
NODEAP_79,283,C,S3D1,1.9371198
NODEAP_79,284,S,S3D2,2.005902
NODEAP_80,286,S,S1D1,1.5905182
NODEAP_80,287,C,S1D2,2.7554593
NODEAP_80,288,S,S2D1,2.3718278
NODEAP_80,289,S,S2D2,2.1862965
NODEAP_80,290,C,S3D1,3.2648757
NODEAP_80,291,S,S3D2,1.6731181
NODEAP_83,293,S,S1D1,4.832085
NODEAP_83,294,S,S1D2,2.4354851
NODEAP_83,295,C,S2D1,3.5259314
NODEAP_83,296,S,S2D2,4.360311
NODEAP_83,297,C,S3D2,2.4195619
NODEAP_84,299,S,S1D1,2.646855
NODEAP_84,300,S,S1D2,1.7913888
NODEAP_84,301,C,S2D1,1.622591
NODEAP_84,302,S,S2D2,2.1751902
NODEAP_84,303,S,S3D1,2.80457
NODEAP_84,304,C,S3D2,2.800382
NODEAP_85,306,C,S1D1,2.825448
NODEAP_85,307,S,S1D2,3.6800783
NODEAP_85,308,S,S2D1,2.6762192
NODEAP_85,309,S,S2D2,2.66392
NODEAP_85,310,S,S3D1,2.77095
NODEAP_85,311,C,S3D2,3.216906
NODEAP_86,313,C,S1D1,1.2390933
NODEAP_86,314,S,S1D2,2.2901754
NODEAP_86,315,S,S2D1,3.0814462
NODEAP_86,316,C,S2D2,2.7074192
NODEAP_86,317,S,S3D1,2.581885
NODEAP_86,318,S,S3D2,3.441236
